Next-Door Bike Store,80000.00,21000,13
Professional Sales and Service,80000.00,18000,14
Riders Company,80000.00,21000,15
The Bike Mechanics,80000.00,18000,16
Nationwide Supply,80000.00,21000,17
Area Bike Accessories,30000.00,9000,8
Bicycle Accessories and Kits,30000.00,7000,9
Clamps & Brackets Co.,80000.00,17000,10
Valley Bicycle Specialists,300000.00,72000,66
New Bikes Company,150000.00,39000,40
Vinyl and Plastic Goods Corporation,150000.00,41000,43
Top of the Line Bikes,150000.00,40000,46
Fun Toys and Bikes,30000.00,6000,2
"Great Bikes ",30000.00,10000,3
Metropolitan Sales and Rental,30000.00,6000,4
Irregulars Outlet,30000.00,7000,5
Valley Toy Store,30000.00,9000,6
Worthwhile Activity Store,30000.00,8000,7
Purchase Mart,150000.00,38000,49
Major Sport Suppliers,300000.00,68000,52
Family's Favorite Bike Shop,80000.00,21000,18
Global Plaza,80000.00,19000,19
Imported and Domestic Cycles,100000.00,24000,20
Systematic Sales,300000.00,73000,55
eCommerce Bikes,300000.00,69000,58
Mountain Toy Store,80000.00,18000,17
Retail Sales and Service,80000.00,18000,14
Designated Distributors,300000.00,72000,61
Bold Bike Accessories,300000.00,72000,58
Twin Cycles,80000.00,21000,11
Tiny Bike Boutique,30000.00,6000,4
Acclaimed Bicycle Company,300000.00,73000,61
Serious Cycles,300000.00,71000,64
Quality Bike Sales,300000.00,74000,67
Novelty Bikes,300000.00,74000,70
Distinctive Cycles Sales & Service,300000.00,75000,79
Leading Bike Distributors,80000.00,18000,13
Activity Center,150000.00,37000,37
Brightwork Company,150000.00,36000,38
Resale Services,80000.00,21000,16
The Gear Store,80000.00,21000,14
Immense Manufacturing Company,300000.00,76000,73
Extended Bike Sales,300000.00,73000,76
Pedaling Components,150000.00,36000,35
Workout Emporium,150000.00,39000,36
Work and Play Association,80000.00,22000,12
Seaside Bike Works,80000.00,19000,10
Nice Bikes,30000.00,9000,8
Remarkable Bike Store,80000.00,17000,10
Road-Way Mart,100000.00,26000,27
Small Cycle Store,100000.00,25000,28
Blue-Ribbon Bike Company,30000.00,9000,6
Flawless Bike Shop,30000.00,10000,4
Grand Bicycle Stores,30000.00,10000,2
Exertion Activities Club,150000.00,38000,32
Impromptu Trips,150000.00,37000,33
Margie's Travel,150000.00,35000,34
Kickstand Sellers,30000.00,8000,3
Nearest Bike Store,30000.00,8000,4
Fast Bike Works,100000.00,25000,28
Gasless Cycle Shop,100000.00,24000,29
Lubricant and Grease Suppliers,150000.00,37000,30
Teen Discount Store,80000.00,18000,16
Transportation Options,80000.00,20000,17
Capital Riding Supplies,150000.00,39000,46
Bike Boutique,150000.00,41000,49
Bikes Anyone?,100000.00,27000,22
Cross-town Parts Shop,80000.00,23000,19
Finer Cycle Shop,80000.00,20000,16
Center Cycle Shop,100000.00,25000,20
Bulk Discount Store,80000.00,21000,17
Country Parts Shop,80000.00,21000,14
Second Bike Shop,80000.00,21000,19
First-Rate Outlet,100000.00,26000,20
Juvenile Sports Equipment,80000.00,20000,18
Another Bicycle Company,30000.00,6000,2
Fourth Bike Store,30000.00,9000,3
Rodeway Bike Store,30000.00,7000,4
Traction Tire Company,150000.00,39000,31
Unsurpassed Bikes,150000.00,39000,32
Field Trip Inc,150000.00,35000,33
Tire Company,150000.00,37000,45
Uncompromising Quality Co,150000.00,39000,46
Metallic Paint and Overcoat Co,100000.00,26000,28
Pro Sporting Goods,300000.00,79000,90
Sporting Goods and Bicycle Shop,300000.00,78000,91
Odometers and Accessories Company,300000.00,76000,92
Scratch-Resistant Finishes Company,80000.00,21000,16
Topnotch Bikes,80000.00,22000,13
"Unicycles, Bicycles, and Tricycles",80000.00,17000,10
Safe Cycles Shop,300000.00,72000,73
Number 1 Supply,300000.00,75000,76
Industrial Supplies,300000.00,73000,79
Golf and Cycle Store,300000.00,75000,86
Front Runner Bikes,300000.00,77000,87
Favorite Toy Distributor,300000.00,77000,88
World Bike Discount Store,150000.00,39000,38
Global Sporting Goods,150000.00,36000,39
Historic Bicycle Sales,150000.00,38000,40
Commuter Bicycle Store,80000.00,22000,17
Coalition Bike Company,80000.00,23000,18
Travel Systems,80000.00,21000,19
Grease and Oil Products Company,150000.00,36000,38
Moderately-Priced Bikes Store,150000.00,39000,39
Toy Manufacturing Inc,150000.00,40000,41
Eighty Toy Stores,150000.00,37000,42
Economy Bikes Company,150000.00,41000,43
Third Bike Store,150000.00,37000,44
Atypical Bike Company,100000.00,25000,20
Bikes for Two,80000.00,22000,18
Metal Processing Company,150000.00,39000,47
Widget Bicycle Specialists,150000.00,38000,48
Initial Bike Company,80000.00,19000,13
Latest Sports Equipment,80000.00,18000,14
Modern Bike Store,80000.00,21000,15
Raw Materials Inc,300000.00,74000,73
Lots of Bikes Storehouse,300000.00,73000,76
Futuristic Bikes,300000.00,77000,79
Parcel Express Delivery Service,150000.00,36000,38
Outdoor Distributors,150000.00,36000,39
North Bike Company,150000.00,37000,40
Prosperous Tours,300000.00,79000,99
Nonskid Tire Company,300000.00,80000,100
Amalgamated Parts Shop,300000.00,77000,99
Metro Bike Works,300000.00,77000,100
Best o' Bikes,80000.00,19000,10
Painters Bicycle Specialists,100000.00,24000,27
Client Discount Store,100000.00,24000,20
Eastside Sporting Goods,80000.00,19000,17
Helmets and Cycles,80000.00,21000,14
Requisite Part Supply,150000.00,39000,35
Racks and Security Systems,150000.00,39000,36
Mechanical Products Ltd.,150000.00,38000,37
Commendable Bikes,150000.00,37000,39
Online Bike Sellers,150000.00,39000,40
Custom Accessories Company,300000.00,79000,98
Unusual Bicycle Company,300000.00,78000,99
Courteous Bicycle Specialists,30000.00,10000,8
Hobby Store,30000.00,6000,5
Professional Cycle Store,30000.00,10000,2
Bike Universe,100000.00,28000,28
Fifth Bike Store,100000.00,26000,25
Independent Outlet,100000.00,25000,22
Rambling Tours,80000.00,19000,19
Farthest Bike Store,300000.00,74000,80
Excellent Bikes,300000.00,75000,81
Curbside Universe,300000.00,73000,82
Alternative Vehicles,150000.00,41000,45
Channel Outlet,150000.00,40000,46
Full Sports Supply,150000.00,38000,47
Retail Mall,300000.00,79000,91
Racing Store,300000.00,78000,92
Metro Metals Co.,300000.00,77000,93
Sheet Metal Manufacturing,80000.00,19000,17
Thorough Parts and Repair Services,80000.00,22000,18
Uttermost Bike Shop,80000.00,20000,19
Mechanical Sports Center,150000.00,40000,40
Speedometer Sales,150000.00,39000,37
Two-Wheeled Transit Company,150000.00,38000,34
Mountain Emporium,150000.00,37000,31
Metro Cycle Shop,300000.00,74000,83
Outdoor Sporting Goods,300000.00,74000,84
Tread Industries,300000.00,77000,85
Petroleum Products Distributors,300000.00,78000,86
Tandem Bicycle Store,150000.00,37000,46
Bikes and Motorbikes,150000.00,40000,49
Budget Toy Store,300000.00,71000,52
Camping and Sports Store,300000.00,77000,80
Ace Bicycle Supply,300000.00,73000,81
Rural Department Store,150000.00,35000,31
Sports Commodities,150000.00,37000,32
Riverside Company,150000.00,38000,33
Bicycle Exporters,150000.00,39000,34
Responsible Bike Dealers,150000.00,40000,49
Western Bike Supplies,150000.00,38000,48
Advanced Bike Components,150000.00,38000,40
Aerobic Exercise Company,150000.00,40000,43
Rural Sporting Goods,80000.00,20000,10
Corner Bicycle Supply,80000.00,17000,11
Distance Bikes,80000.00,20000,12
Westside Plaza,300000.00,74000,83
Ultimate Bike Shop,300000.00,78000,84
Outstanding Cycles,300000.00,78000,85
Vigorous Sports Store,300000.00,73000,82
Sports Merchandise,300000.00,73000,83
Fitness Toy Store,300000.00,75000,84
Casual Bicycle Store,80000.00,18000,10
Fitness Discount Store,80000.00,19000,11
General Cycle Storehouse,80000.00,20000,12
Fitness Cycling,80000.00,18000,16
Good Bike Shop,80000.00,19000,14
Imaginary Toys,80000.00,20000,12
Inexpensive Parts Shop,150000.00,35000,34
Nuts and Bolts Mfg.,150000.00,37000,35
Principal Bicycle Supply,150000.00,39000,36
Thrilling Bike Tours,150000.00,37000,37
This Area Sporting Goods,150000.00,39000,38
Full-Service Bike Store,150000.00,38000,39
Plastic Products Manufacturers,150000.00,37000,40
Kids and Adults Cycle Shop,300000.00,75000,93
Grand Discount Store,300000.00,75000,94
Genuine Bike Shop,300000.00,76000,95
Extreme Riding Supplies,300000.00,79000,96
Bike Rims Company,300000.00,80000,97
Fleet Bikes,150000.00,40000,49
Local Hardware Factory,150000.00,41000,46
Only Bikes and Accessories,150000.00,40000,43
Rental Gallery,150000.00,37000,40
South Bike Company,150000.00,40000,37
Wonderful Bikes Inc.,150000.00,37000,34
Another Sporting Goods Company,150000.00,37000,31
Discount Bicycle Specialists,100000.00,28000,28
Famous Bike Sales and Service,100000.00,26000,25
First Supplies,100000.00,26000,22
Machines & Cycles Store,80000.00,22000,19
Pedals Warehouse,80000.00,20000,16
Two Wheels Cycle Store,80000.00,22000,13
Westside Cycle Store,80000.00,20000,10
Wholesale Bikes,100000.00,27000,27
Very Best Sports Supply,100000.00,28000,28
Urban Sports Emporium,100000.00,24000,29
Superlative Bikes,150000.00,36000,30
Primary Cycle Shop,150000.00,37000,41
Sixth Bike Store,150000.00,37000,42
Touring Services,150000.00,38000,43
Vehicle Shop,150000.00,38000,44
First Department Stores,150000.00,38000,45
Grand Sport Boutique,150000.00,39000,46
Major Equipment Co,150000.00,37000,47
Custom Sales and Service,150000.00,39000,48
Elemental Sporting Goods,150000.00,41000,49
Distinctive Store,150000.00,37000,46
Grand Cycle Store,150000.00,41000,43
Nearby Bike Mall,300000.00,74000,87
Handy Bike Services,300000.00,76000,88
Friendly Bike Shop,300000.00,75000,89
Fashionable Bikes and Accessories,300000.00,76000,90
Extreme Toy Store,300000.00,75000,91
Citywide Service and Repair,300000.00,79000,92
Best Cycle Store,300000.00,78000,93
Professional Sporting Goods,300000.00,78000,94
Rugged Bikes,300000.00,77000,95
Principal Bike Company,300000.00,79000,96
One-Piece Handle Bars,300000.00,80000,97
Finer Riding Supplies,300000.00,78000,98
Neighborhood Store,300000.00,77000,87
Online Bike Catalog,300000.00,74000,88
Outdoor Equipment Store,300000.00,76000,89
Paint Supply,300000.00,78000,90
Preferred Bikes,300000.00,77000,91
Rally Day Mall,300000.00,75000,92
Rewarding Activities Company,300000.00,76000,93
Rich Department Store,300000.00,76000,94
Sales and Supply Company,300000.00,75000,95
Stationary Bikes and Stands,300000.00,76000,96
Successful Sales Company,150000.00,38000,46
Downtown Hotel,300000.00,74000,85
Certified Sports Supply,300000.00,78000,86
Registered Cycle Store,300000.00,77000,87
Rampart Amusement Company,300000.00,75000,88
Sundry Sporting Goods,30000.00,7000,5
Excellent Riding Supplies,30000.00,9000,6
Farthermost Bike Shop,30000.00,8000,7
Suburban Cycle Shop,30000.00,10000,8
Weekend Tours,30000.00,9000,9
Racing Bike Outlet,300000.00,72000,52
Utilitarian Sporting Goods,300000.00,72000,55
"Bike Goods ",300000.00,73000,58
Vigorous Exercise Company,300000.00,72000,61
Showcase for Cycles,300000.00,71000,64
Lease-a-Bike Shop,300000.00,71000,67
Functional Store South,300000.00,71000,70
Active Cycling,300000.00,73000,73
Stock Parts and Supplies,300000.00,76000,76
Roadway Supplies,300000.00,73000,79
Sensational Discount Store,300000.00,73000,80
Future Bikes,300000.00,74000,81
Super Sports Store,300000.00,78000,100
Satin Finish Company,300000.00,74000,66
Regional Manufacturing,150000.00,38000,40
Original Bicycle Supply Company,150000.00,38000,43
First Center,150000.00,39000,46
Action Bicycle Specialists,150000.00,40000,49
Roadway Bike Emporium,300000.00,68000,52
"Sleek Bikes ",300000.00,70000,55
Retail Sporting Equipment,300000.00,72000,58
Price-Cutter Discount Bikes,300000.00,70000,61
Brand New Bikes,300000.00,73000,64
Central Bicycle Specialists,300000.00,71000,67
Vast Bike Sales and Rental,300000.00,73000,70
Summer Sports Place,300000.00,73000,73
Real Sporting Goods,300000.00,72000,76
Versatile Sporting Goods Company,300000.00,74000,64
Bicycle Outfitters,300000.00,72000,67
The Bike Shop,300000.00,73000,70
Safe Toys,300000.00,74000,73
Qualified Sales and Repair Services,300000.00,75000,76
Our Sporting Goods Store,300000.00,76000,79
Lustrous Paints and Components,300000.00,77000,80
Expert Sports Store,300000.00,77000,81
Coho Sports,300000.00,75000,82
Jumbo Bikes,150000.00,39000,41
Quick Delivery Service,150000.00,37000,42
Tough and Reliable Parts,150000.00,40000,43
Basic Sports Equipment,150000.00,38000,44
Cash & Carry Bikes,150000.00,39000,45
Convenient Bike Shop,150000.00,38000,46
Fitness Bike Accessories,150000.00,39000,47
General Bike Corporation,150000.00,38000,48
Quitting Business Distributors,150000.00,40000,49
Retail Cycle Shop,150000.00,38000,46
Social Activities Club,150000.00,39000,43
Blue Bicycle Company,150000.00,36000,40
Expert Cycle Store,150000.00,38000,37
General Riding Supplies,150000.00,36000,34
Parts Shop,150000.00,38000,31
Riding Excursions,100000.00,27000,28
Unique Bikes,100000.00,27000,25
Rural Cycle Emporium,80000.00,21000,11
Associated Bikes,30000.00,7000,8
Modular Cycle Systems,30000.00,6000,5
A Bike Store,30000.00,7000,2
Journey Sporting Goods,80000.00,21000,13
Two Bike Shops,80000.00,20000,14
Cycles Wholesaler & Mfg.,80000.00,21000,15
Wheels Inc.,80000.00,19000,16
Number One Bike Co.,150000.00,40000,40
Racing Supply Distributors,150000.00,38000,41
Standard Bikes,150000.00,38000,42
The Bicycle Accessories Company,150000.00,37000,43
Active Systems,150000.00,39000,44
Futuristic Sport Distributors,300000.00,78000,94
Finer Sales and Service,300000.00,77000,95
Big-Time Bike Store,300000.00,80000,96
The Showroom,300000.00,79000,97
Spa and Exercise Outfitters,300000.00,79000,98
Year-Round Sports,300000.00,75000,66
The New Bike Store,150000.00,37000,40
Resident Cycle Shop,150000.00,38000,43
Primary Bike Distributors,150000.00,39000,46
Major Bicycle Store,150000.00,41000,49
Leather and Vinyl Manufacturing,300000.00,68000,52
Genial Bike Associates,300000.00,70000,55
Commercial Sporting Goods,300000.00,74000,61
Wholesale Parts,300000.00,70000,64
Steel Inc.,300000.00,74000,67
Riding Cycles,300000.00,74000,70
Metro Manufacturing,150000.00,36000,41
Manufacturers Inc,150000.00,39000,42
