Next-Door Bike Store,80000.00,21000,13
Locks Company,150000.00,40000,43
Latest Accessories Sales,150000.00,38000,44
Incomparable Bicycle Store,150000.00,41000,45
Hometown Riding Supplies,150000.00,38000,46
Greater Bike Store,150000.00,39000,47
Games and Sport Supply Company,150000.00,42000,48
Distant Inn,150000.00,38000,49
Finer Mart,150000.00,38000,46
Economic Parts Supply,150000.00,40000,43
Precision Gears Inc.,150000.00,38000,40
Cross-Country Riding Supplies,150000.00,36000,37
Stylish Department Stores,150000.00,39000,34
Bike World,150000.00,35000,31
Central Discount Store,100000.00,25000,28
Trusted Catalog Store,100000.00,25000,25
Bicycle Warehouse Inc.,100000.00,26000,22
Sharp Bikes,80000.00,19000,19
Exemplary Cycles,80000.00,20000,16
Metropolitan Sports Supply,80000.00,21000,13
Progressive Sports,80000.00,18000,10
Underglaze and Finish Company,80000.00,18000,11
Brakes and Gears,80000.00,18000,12
The Accessories Store,80000.00,18000,13
Mountain Bike Store,80000.00,22000,14
Bike Part Wholesalers,80000.00,21000,15
Family Cycle Store,80000.00,18000,16
Popular Bike Lines,80000.00,20000,17
Superb Sales and Repair,80000.00,19000,18
Better Bike Shop,80000.00,19000,19
Countryside Company,100000.00,26000,20
First Bike Store,80000.00,21000,17
Traditional Department Stores,80000.00,18000,14
Eastside Cycle Shop,80000.00,21000,11
General Department Stores,30000.00,11000,8
Mass Market Bikes,30000.00,7000,5
Operational Manufacturing,30000.00,8000,2
Online Bike Warehouse,80000.00,21000,17
Retread Tire Company,80000.00,20000,18
Small Bike Shop,80000.00,23000,19
Superior Hardware Distributors,100000.00,25000,20
Fitness Sport Boutique,80000.00,23000,18
Producer Goods Clearinghouse,80000.00,22000,16
Recreation Systems,80000.00,20000,14
Rustic Bike Store,80000.00,19000,12
Eastside Parts Shop,80000.00,17000,10
Exchange Parts Inc.,30000.00,9000,8
First Cycle Store,30000.00,9000,6
Running and Cycling Gear,30000.00,7000,4
Seventh Bike Store,30000.00,10000,2
Fast Services,30000.00,9000,3
General Associates,30000.00,9000,4
Good Toys,30000.00,9000,5
Little Bicycle Supply Shop,30000.00,11000,6
Retail Toy Store,30000.00,8000,7
Strenuous Exercise Shop,30000.00,7000,8
All Seasons Sports Supply,30000.00,10000,9
Leisure Clearing House,80000.00,20000,10
Outdoor Toy Store,30000.00,8000,8
The Commissary,30000.00,9000,6
Affordable Sports Equipment,30000.00,8000,4
Local Sales and Rental,30000.00,10000,2
Economy Center,150000.00,35000,31
Community Department Stores,150000.00,36000,34
Area Sheet Metal Supply,150000.00,36000,37
Synthetic Materials Manufacturing,150000.00,39000,40
Rural Sales and Service,150000.00,37000,43
Tubeless Tire Company,300000.00,75000,89
Tires and Tubes,300000.00,79000,90
Hardware Components,300000.00,75000,91
Retail Sporting Goods,300000.00,78000,92
Efficient Cycling,300000.00,77000,93
General Industries,150000.00,42000,48
Highway Bike Shop,150000.00,40000,49
Rental Bikes,150000.00,40000,46
Roving Sports,150000.00,41000,43
Express Bike Services,150000.00,38000,40
Major Amusement Company,150000.00,36000,37
Retail Discount Store,150000.00,37000,34
Vale Riding Supplies,150000.00,37000,31
A Great Bicycle Company,100000.00,28000,28
Certified Bicycle Supply,100000.00,24000,25
Exceptional Cycle Services,100000.00,27000,22
Instant Cycle Store,80000.00,23000,19
Leisure Activities,80000.00,22000,16
Paints and Solvents Company,80000.00,18000,13
West Wind Distributors,100000.00,27000,29
Bikes for Kids and Adults,150000.00,36000,30
Consolidated Sales,150000.00,38000,31
Home Town Bike Store,80000.00,20000,11
Optimal Bikes,30000.00,10000,8
Sample Bike Store,30000.00,7000,5
Extras Sporting Goods,30000.00,7000,2
Sure & Reliable Sporting Goods,80000.00,22000,17
Eleventh Bike Store,80000.00,22000,18
Enterprise Center,80000.00,23000,19
Purple Bicycle Company,100000.00,27000,20
New and Used Bicycles,80000.00,20000,18
Separate Parts Corporation,80000.00,21000,16
Basic Bike Company,80000.00,20000,14
"Fabrikam Inc., West",80000.00,18000,12
Mechanical Brake Manufacturers,80000.00,21000,10
Non-Slip Pedal Company,30000.00,11000,8
Variety Bike Outlet,30000.00,9000,6
Weekend Bike Tours,30000.00,7000,4
"Fabrikam Inc., East",80000.00,20000,11
General Supplies,80000.00,21000,12
Noiseless Gear Company,80000.00,20000,13
Racing Toys,80000.00,18000,14
Capable Sales and Service,30000.00,10000,3
Little Sports Center,30000.00,10000,4
Pretty Bikes and Toys,30000.00,6000,5
Road Way Sales and Rental,30000.00,10000,6
Sturdy Toys,30000.00,9000,7
Beneficial Exercises and Activities,30000.00,9000,8
Fad Outlet,30000.00,8000,9
Commerce Bicycle Specialists,80000.00,19000,10
Township Inn,80000.00,18000,11
Acceptable Sales & Service,80000.00,21000,12
Brown Bicycle Company,80000.00,19000,13
District Mall,80000.00,19000,14
Fitness Supplies,80000.00,19000,15
Mail Market,80000.00,19000,16
Spare Parts Co.,80000.00,19000,17
Twelfth Bike Store,80000.00,21000,18
Consolidated Messenger,30000.00,7000,8
Daring Rides,30000.00,10000,5
Field Trip Store,30000.00,8000,2
Finish and Sealant Products,80000.00,22000,17
Finer Parts Shop,80000.00,19000,18
Glossy Bikes,80000.00,22000,19
Next Door Cycles,100000.00,27000,20
Up-To-Date Sports,100000.00,26000,20
Mountain Bike Center,80000.00,20000,18
Specialty Sports Store,80000.00,20000,16
Scooters and Bikes Store,80000.00,21000,14
Closest Bicycle Store,80000.00,22000,12
Roadway Bicycle Supply,80000.00,19000,10
Refined Department Stores,30000.00,7000,8
Reasonable Bicycle Sales,30000.00,10000,6
Out-of-the-Way Hotels,30000.00,8000,4
Outdoor Sports Supply,30000.00,9000,2
Outdoor Aerobic Systems Company,30000.00,8000,3
Self-Contained Cycle Parts Company,30000.00,7000,4
Metal Clearing House,30000.00,9000,5
Many Bikes Store,30000.00,10000,6
Largest Bike Store,30000.00,7000,7
Kickstands and Accessories Company,30000.00,10000,8
Instruments and Parts Company,30000.00,8000,9
Neighborhood Bicycle Storehouse,80000.00,17000,10
Gear-Shift Bikes Limited,80000.00,21000,11
Frugal Bike Shop,80000.00,21000,12
Family Entertainment Center,300000.00,75000,89
Go-cart and Bike Specialists,300000.00,78000,90
Trailblazing Sports,300000.00,78000,91
Racing Partners,300000.00,79000,92
Perfect Toys,300000.00,76000,93
Exhibition Showroom,300000.00,77000,94
Authorized Bike Sales and Rental,300000.00,75000,95
Two-Seater Bikes,300000.00,80000,96
More Bikes!,300000.00,79000,97
Unified Sports Company,300000.00,80000,98
National Manufacturing,300000.00,80000,99
Volume Bike Sellers,300000.00,78000,100
Wheelsets Storehouse,300000.00,73000,66
Town Industries,150000.00,38000,40
Security Racks and Locks Wholesalers,150000.00,41000,43
Rapid Bikes,150000.00,40000,46
Metro Sports Equipment,150000.00,41000,49
Nearby Sporting Goods,300000.00,71000,52
Front Sporting Goods,300000.00,70000,55
Elite Bikes,300000.00,69000,58
Catalog Store,300000.00,69000,55
Chic Department Stores,300000.00,71000,58
Eastside Department Store,300000.00,70000,61
Sports Sales and Rental,300000.00,72000,64
Cycle Merchants,300000.00,75000,67
Global Sports Outlet,300000.00,75000,70
Exotic Bikes,300000.00,75000,73
Fitness Hotel,300000.00,75000,76
Healthy Activity Store,300000.00,74000,79
Every Bike Shop,300000.00,76000,80
Grand Industries,300000.00,77000,81
Ideal Components,300000.00,76000,82
Larger Cycle Shop,300000.00,77000,83
Leading Sales & Repair,300000.00,75000,84
Main Bicycle Services,300000.00,75000,85
Metro Bike Mart,300000.00,76000,86
Tandem Sales and Service,150000.00,38000,34
Sensible Sports,150000.00,37000,33
Reliable Retail Center,150000.00,35000,32
Liquidation Sales,150000.00,37000,31
Friendly Bike Shop,150000.00,39000,30
Yellow Bicycle Company,100000.00,26000,29
Sports Products Store,100000.00,26000,28
Selected Distributors,100000.00,27000,27
Impervious Paint Company,80000.00,18000,10
Shipping Specialists,80000.00,20000,13
Finer Sporting Goods,80000.00,18000,16
Authentic Sales and Service,80000.00,20000,19
Official Parts Shop,100000.00,24000,22
"Contoso, Ltd.",100000.00,24000,25
Discount Tours,100000.00,28000,28
Tire Exchange,150000.00,36000,31
Racing Tours,150000.00,36000,34
Oils and Fluids Warehouse,150000.00,37000,37
Finished Parts Shop,150000.00,36000,40
Consumer Equipment,150000.00,37000,43
Rally Master Company Inc,300000.00,77000,97
Professional Cyclists,300000.00,77000,98
Sports Products Store,300000.00,78000,99
Exclusive Bicycle Mart,300000.00,77000,100
City Manufacturing,300000.00,75000,66
Bike Dealers Association,150000.00,40000,40
Pedal Systems Company,150000.00,39000,43
"Health Spa, Limited",150000.00,40000,46
Global Bike Retailers,150000.00,40000,49
Fashionable Department Stores,300000.00,68000,52
Closeout Boutique,300000.00,70000,55
Bicycle Merchandise Warehouse,300000.00,69000,58
Spoke Manufacturers,300000.00,74000,61
Leather Seat Factory,300000.00,72000,64
Good Bicycle Store,300000.00,71000,67
Endurance Bikes,300000.00,75000,70
Practical Bike Supply Company,100000.00,26000,25
Some Discount Store,100000.00,27000,22
Variety Cycling,80000.00,21000,19
Accessories Network,80000.00,22000,16
Remote Bicycle Specialists,80000.00,19000,13
Curbside Sporting Goods,80000.00,20000,10
Friendly Neighborhood Bikes,100000.00,28000,27
Guaranteed Sales and Service,100000.00,28000,28
Preferable Bikes,100000.00,24000,29
Recommended Bicycles,150000.00,35000,30
Sunny Place Bikes,150000.00,39000,31
Alpine Ski House,150000.00,37000,32
Cycles and Scooters,150000.00,35000,33
Small Bike Accessories Shop,150000.00,37000,34
List Price Catalog Company,150000.00,37000,35
Seats and Saddles Company,150000.00,38000,36
Village Tours,150000.00,40000,37
All Cycle Shop,100000.00,25000,27
Tachometers and Accessories,100000.00,25000,28
Cycles Sales and Repair,100000.00,26000,29
Low Price Cycles,150000.00,36000,30
Metropolitan Manufacturing,150000.00,39000,31
Orange Bicycle Company,150000.00,37000,32
Riding Associates,150000.00,36000,33
Essential Bike Works,150000.00,39000,34
Rural Mountain Bike Mart,150000.00,39000,35
City Cycling,150000.00,37000,36
Engineered Bike Systems,150000.00,40000,37
Professional Containers and Packaging Co.,150000.00,38000,46
One Bike Company,150000.00,41000,49
Hiatus Bike Tours,150000.00,40000,48
Cycling Goods,150000.00,37000,47
Cycle Clearance,150000.00,40000,46
Black Bicycle Company,150000.00,40000,45
Transport Bikes,150000.00,41000,44
Sellers of Cycles,150000.00,37000,43
Maintenance and Repair for Bicycles,150000.00,41000,42
Fitness Department Stores,150000.00,37000,41
Famous Bike Shop,150000.00,37000,40
Eastward Bike Accessories,150000.00,39000,39
Strong Metal Manufacturing,150000.00,36000,38
Gift and Toy Store,150000.00,36000,37
Major Sporting Goods,150000.00,40000,36
Executive Discount Store,150000.00,39000,35
Major Cycling,300000.00,77000,79
Getaway Inn,300000.00,75000,80
Downhill Bicycle Specialists,300000.00,77000,81
Bike Experts,300000.00,73000,82
Extraordinary Bike Works,300000.00,75000,83
Valley Bicycle Distributors,300000.00,76000,84
Top Sports Supply,300000.00,78000,85
Racing Sales and Service,300000.00,77000,86
Metropolitan Bicycle Supply,300000.00,78000,87
Honest Repair Service,300000.00,77000,88
Designer Department Stores,300000.00,74000,89
Wheel Gallery,300000.00,79000,90
Top Bike Market,300000.00,75000,80
Region Bike Company,300000.00,75000,81
Grown-up Bike Store,300000.00,75000,82
Bicycle Lines Distributors,300000.00,77000,83
Sparkling Paint and Finishes,300000.00,76000,84
Racing Association,300000.00,76000,85
Plastic Parts Company,300000.00,76000,86
Gears and Parts Company,300000.00,74000,87
Executive Gift Store,300000.00,76000,88
Big Cycle Mall,300000.00,77000,89
Budget Bike Company,80000.00,22000,18
Eighth Bike Store,80000.00,21000,19
Demand Distributors,100000.00,24000,20
Immediate Repair Shop,80000.00,22000,17
Off-Price Bike Center,80000.00,22000,14
Red Bicycle Company,80000.00,18000,11
Retirement Activities Association,30000.00,11000,8
Trendy Department Stores,30000.00,9000,5
Vintage Sport Boutique,30000.00,9000,2
Travel Sports,80000.00,18000,17
West Side Mart,80000.00,19000,18
The Bike Outlet,80000.00,21000,19
Tenth Bike Store,80000.00,23000,18
Valuable Bike Parts Company,80000.00,20000,16
Fun Times Club,80000.00,22000,14
Chain and Chain Tool Distributions,80000.00,20000,12
Mobile Outlet,80000.00,17000,10
Regional Cycle Shop,30000.00,10000,8
Rural Bicycle Supply,30000.00,10000,6
Wingtip Toys,80000.00,20000,15
The Cycle Store,80000.00,22000,16
Educational Services,80000.00,19000,17
Active Life Toys,80000.00,20000,18
Simple Bike Parts,80000.00,21000,19
Timely Shipping Service,100000.00,24000,20
A Cycle Shop,80000.00,22000,17
Bike Products and Accessories,80000.00,19000,14
Fitness Toys,80000.00,21000,11
Quick Parts and Service,30000.00,7000,5
Reliable Brake Systems,30000.00,7000,6
Thrifty Parts and Sales,30000.00,8000,7
A Typical Bike Shop,30000.00,8000,8
Active Transport Inc.,30000.00,8000,9
Cycle Parts and Accessories,80000.00,20000,10
Fasteners & Bolts Outlet,80000.00,18000,11
Functional Store North,80000.00,19000,12
Quantity Discounts,80000.00,19000,13
Swift Cycles,80000.00,22000,14
Classic Cycle Store,80000.00,22000,15
"Helpful Sales and Repair Service ",80000.00,19000,16
Large Bike Shop,80000.00,19000,17
Recreation Supplies,80000.00,22000,18
Wire Baskets and Parts,80000.00,19000,19
Ultimate Bicycle Company,300000.00,78000,94
Sports Store,300000.00,76000,95
Metropolitan Equipment,300000.00,78000,96
Extended Tours,300000.00,78000,97
Convenient Sales and Service,300000.00,77000,98
Solid Bike Parts,300000.00,77000,99
Permanent Finish Products,300000.00,79000,100
Mercantile Outlet,300000.00,71000,66
Links Works,150000.00,39000,40
Exhilarating Cycles,150000.00,40000,43
Exercise Center,80000.00,23000,19
Great Bicycle Supply,100000.00,27000,20
Mail-Order Outlet,80000.00,18000,17
Nearby Cycle Shop,80000.00,20000,14
Recreation Toy Store,80000.00,17000,11
Retreat Inn,30000.00,7000,8
Technical Parts Manufacturing,30000.00,7000,5
Totes & Baskets Company,30000.00,6000,2
World of Bikes,80000.00,19000,17
A Bicycle Association,80000.00,19000,18
